CustomerID,Value,Frequency,AVG_Basket,cat_Contenants,cat_Objets artistiques,cat_Objets de creation,cat_autres,country_France,country_Germany,country_Other_country,country_United Kingdom,label
12347,711.79,1,711.79,1,0,0,0,0,0,1,0,4
12348,892.8000000000001,1,892.8000000000001,0,1,0,0,0,0,1,0,4
12349,1757.55,1,1757.55,0,1,0,0,0,0,1,0,4
12350,334.40000000000003,1,334.40000000000003,0,0,1,0,0,0,1,0,4
12352,421.04999999999995,2,210.52499999999998,0,0,1,0,0,0,1,0,4
12353,89.0,1,89.0,1,0,0,0,0,0,1,0,4
12354,1079.3999999999999,1,1079.3999999999999,0,1,0,0,0,0,1,0,4
12355,459.4,1,459.4,0,1,0,0,0,0,1,0,4
12356,2271.6200000000003,1,2271.6200000000003,0,0,1,0,0,0,1,0,4
12357,6207.669999999996,1,6207.669999999996,0,1,0,0,0,0,1,0,4
12358,484.85999999999996,1,484.85999999999996,0,1,0,0,0,0,1,0,4
12359,547.5,1,547.5,0,1,0,0,0,0,1,0,4
12360,1083.58,1,1083.58,0,1,0,0,0,0,1,0,4
12361,189.9,1,189.9,1,0,0,0,0,0,1,0,4
12362,474.20000000000005,2,237.10000000000002,0,1,0,0,0,0,1,0,4
12363,299.1,1,299.1,0,1,0,0,0,0,1,0,4
12364,623.92,1,623.92,0,1,0,0,0,0,1,0,4
12365,320.68999999999994,1,320.68999999999994,0,1,0,0,0,0,1,0,4
12367,168.9,1,168.9,0,1,0,0,0,0,1,0,4
12370,1868.02,2,934.01,0,0,1,0,0,0,1,0,4
12371,1887.9600000000003,2,943.9800000000001,1,0,0,0,0,0,1,0,4
12372,399.22,1,399.22,1,0,0,0,0,0,1,0,4
12373,364.6,1,364.6,0,0,1,0,0,0,1,0,4
12374,742.93,1,742.93,1,0,0,0,0,0,1,0,4
12375,230.30000000000004,1,230.30000000000004,0,1,0,0,0,0,1,0,4
12377,1001.5199999999998,1,1001.5199999999998,1,0,0,0,0,0,1,0,4
12378,4008.6200000000013,1,4008.6200000000013,0,1,0,0,0,0,1,0,4
12379,457.88999999999993,2,228.94499999999996,0,1,0,0,0,0,1,0,4
12380,607.5500000000001,1,607.5500000000001,0,1,0,0,0,0,1,0,4
12381,1227.3899999999996,2,613.6949999999999,0,1,0,0,0,0,1,0,4
12383,1251.8799999999999,2,625.9399999999999,0,1,0,0,0,0,1,0,4
12384,292.68999999999994,1,292.68999999999994,0,1,0,0,0,0,1,0,4
12386,258.90000000000003,1,258.90000000000003,0,1,0,0,0,0,1,0,4
12388,555.35,2,277.67499999999995,0,0,1,0,0,0,1,0,4
12390,549.8399999999999,1,549.8399999999999,0,1,0,0,0,0,1,0,4
12391,460.88999999999993,1,460.88999999999993,0,1,0,0,0,0,1,0,4
12393,639.4999999999999,2,319.75,0,1,0,0,0,0,1,0,4
12394,381.08,1,381.08,0,1,0,0,0,0,1,0,4
12395,679.92,2,339.96000000000004,0,1,0,0,0,0,1,0,4
12397,1214.81,1,1214.81,0,1,0,0,0,0,1,0,4
12398,1635.6599999999999,1,1635.6599999999999,0,1,0,0,0,0,1,0,4
12399,288.05,1,288.05,0,1,0,0,0,0,1,0,4
12401,84.3,1,84.3,0,0,0,1,0,0,1,0,4
12402,225.6,1,225.6,0,1,0,0,0,0,1,0,4
12403,409.7,2,204.85,0,1,0,0,0,0,1,0,4
12405,1710.3900000000006,1,1710.3900000000006,0,1,0,0,0,0,1,0,4
12406,1501.65,1,1501.65,0,1,0,0,0,0,1,0,4
12407,226.29999999999998,1,226.29999999999998,0,1,0,0,0,0,1,0,4
12408,808.26,4,202.06500000000003,1,0,0,0,0,0,1,0,4
